datetime,dish,quantity,price
2025-08-01 20:26:42,Бизнес-ланч,2,764
2025-08-02 03:50:42,Американо,2,524
2025-08-02 07:26:42,Американо,3,1419
2025-08-02 22:38:42,Паста с курицей,1,290
2025-08-04 01:42:42,Паста с курицей,1,516
2025-08-04 11:31:42,Овсянка с фруктами,1,160
2025-08-04 15:02:42,Овсянка с фруктами,2,1022
2025-08-05 09:27:42,Салат Цезарь,3,1107
2025-08-05 16:41:42,Бизнес-ланч,1,416
2025-08-05 19:09:42,Капучино,3,897
2025-08-05 20:41:42,Овсянка с фруктами,2,924
2025-08-06 09:30:42,Салат Цезарь,1,482
2025-08-06 20:36:42,Капучино,3,1182
2025-08-06 22:16:42,Овсянка с фруктами,3,570
2025-08-07 00:20:42,Овсянка с фруктами,1,166
2025-08-07 02:00:42,Латте,2,908
2025-08-07 03:18:42,Борщ,3,600
2025-08-07 11:36:42,Салат Цезарь,1,451
2025-08-07 12:02:42,Бизнес-ланч,2,638
2025-08-07 16:19:42,Овсянка с фруктами,3,1551
2025-08-07 21:25:42,Борщ,1,495
2025-08-07 21:37:42,Сэндвич с тунцом,1,536
2025-08-08 12:06:42,Латте,3,504
2025-08-08 19:52:42,Паста с курицей,2,942
2025-08-09 10:45:42,Овсянка с фруктами,3,1074
2025-08-09 10:50:42,Круассан,1,539
2025-08-09 23:14:42,Овсянка с фруктами,3,1332
2025-08-10 05:47:42,Американо,3,1110
2025-08-11 00:17:42,Салат Цезарь,3,1074
2025-08-11 02:01:42,Латте,2,418
2025-08-11 11:52:42,Борщ,1,309
2025-08-11 19:25:42,Яичница с беконом,2,460
2025-08-11 20:06:42,Салат Цезарь,2,544
2025-08-12 03:42:42,Яичница с беконом,1,447
2025-08-12 23:23:42,Круассан,3,915
2025-08-13 17:05:42,Салат Цезарь,1,275
2025-08-13 19:01:42,Круассан,3,1263
2025-08-14 06:00:42,Латте,1,346
2025-08-14 09:57:42,Бизнес-ланч,1,292
2025-08-15 03:14:42,Бизнес-ланч,1,171
2025-08-15 05:39:42,Борщ,2,386
2025-08-15 13:37:42,Сэндвич с тунцом,1,498
2025-08-15 19:18:42,Яичница с беконом,2,918
2025-08-15 21:41:42,Капучино,2,760
